description,price,rating,review_count,url
"LG Gram 10th Gen Intel Core i7-1065G7 17-inch IPS WQXGA (2560X1600) Thin and Light Laptop (8GB/512GB SSD/Windows 10 64-bit/Dark Silver/1.35kg), 17Z90N","1,05,990",4.7 out of 5 stars,34,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01675923101EX0C7XUQ3&url=%2FLG-i7-1065G7-17-inch-2560X1600-Windows%2Fdp%2FB08J3D2YHV%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627416925%26sr%3D8-1-spons%26psc%3D1&qualifier=1627416925&id=5868978725738442&widgetName=sp_atf
"LG Gram 10th Gen Intel Core i5-1035G7 14"" (35.56cms) IPS Full HD (1920X1080) Thin and Light Laptop (8GB/256GB SSD/Windows 10 64-bit/Dark Silver/999gms), 14Z90N","62,990",4.4 out of 5 stars,50,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04485552QWVES2T6NSTN&url=%2FLG-i5-1035G7-14-inch-1920X1080-Windows%2Fdp%2FB08J42VSL6%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627416925%26sr%3D8-2-spons%26psc%3D1&qualifier=1627416925&id=5868978725738442&widgetName=sp_atf
"ASUS VivoBook 15 (2020), 39.6 cm HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 10 Home/Transparent Silver/1.8 Kg), X515MA-BR002T","24,990",4.0 out of 5 stars,788,https://www.amazon.in/ASUS-VivoBook-Integrated-Transparent-X515MA-BR002T/dp/B08CKY5XX3/ref=sr_1_3?dchild=1&keywords=laptop&qid=1627416925&sr=8-3
"Dell Inspiron 3502 15.6"" (39.62 cms) HD Display Laptop (Pentium Silver N5030 / 4GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560427WIN9BE","29,990",4.2 out of 5 stars,86,https://www.amazon.in/Dell-Inspiron-Integrated-Graphics-D560427WIN9BE/dp/B08X4N3DW2/ref=sr_1_4?dchild=1&keywords=laptop&qid=1627416925&sr=8-4
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au","29,526",3.6 out of 5 stars,216,https://www.amazon.in/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/dp/B08HJYFZ14/ref=sr_1_5?dchild=1&keywords=laptop&qid=1627416925&sr=8-5
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu","27,990",3.4 out of 5 stars,583,https://www.amazon.in/HP-Pentium-Processor-15-6-inch-15s-du1052tu/dp/B08HJZHTM1/ref=sr_1_6?dchild=1&keywords=laptop&qid=1627416925&sr=8-6
"HP 14 (2021) Thin & Light 11th Gen Core i3 Laptop, 8 GB RAM, 256GB SSD, 14-inch (35.56 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa(14s-dy2500TU)","40,990",4.3 out of 5 stars,"1,677",https://www.amazon.in/HP-Laptop-14-inch-Windows-14s-dy2500TU/dp/B08XY3QXY5/ref=sr_1_7?dchild=1&keywords=laptop&qid=1627416925&sr=8-7
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)","36,490",3.8 out of 5 stars,987,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_8?dchild=1&keywords=laptop&qid=1627416925&sr=8-8
"(Renewed) Fujitsu Intel Core i5 3340M 15.6-Inch (39.62 cms) 1366 X 768 Laptop (4 GB/320 GB HDD/Windows/Intel HD Graphics/Black/2.40 Kg), A573","21,990",4.1 out of 5 stars,114,https://www.amazon.in/Renewed-Fujitsu-15-6-Inch-Windows-Graphics/dp/B091B6K2ZM/ref=sr_1_9?dchild=1&keywords=laptop&qid=1627416925&sr=8-9
"ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X515MA-BR004T Thin and Light Laptop (15.6 inch, Transparent Silver, 1.80 Kg","28,980",3.5 out of 5 stars,60,https://www.amazon.in/ASUS-Celeron-Dual-Core-X515MA-BR004T/dp/B094Y8L2G9/ref=sr_1_10?dchild=1&keywords=laptop&qid=1627416925&sr=8-10
"Dell Inspiron 5406 14"" (35.56 cms) FHD Display 2in1 Laptop (11th Gen i3-1115G4 / 4GB / 256GB SSD / Integrated Graphics/ Win 10 + MS Office / Backlit with FPR / Platinum Silver) D560446WIN9S","52,990",4.0 out of 5 stars,29,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09476152EBNZZWHYNWVA&url=%2FDell-Inspiron-i3-1115G4-Integrated-D560446WIN9S%2Fdp%2FB08X4NKYH5%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627416925%26sr%3D8-11-spons%26psc%3D1&qualifier=1627416925&id=5868978725738442&widgetName=sp_mtf
"Dell Inspiron 7415 14"" FHD Touch Display 2in1 Laptop (R5 5500U / 8GB / 512GB SSD / Integrated Graphics / Win 10 + MSO / Backlit KB + FPR + Active Pen /Pebble Metal Color) D560470WIN9P","69,150",4.3 out of 5 stars,14,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03096962B7ZDRRCM6JTC&url=%2FDell-Inspiron-7415-Integrated-D560470WIN9P%2Fdp%2FB095S8HPMY%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1627416925%26sr%3D8-12-spons%26psc%3D1&qualifier=1627416925&id=5868978725738442&widgetName=sp_mtf
"Acer Extensa 15 Thin & Light Laptop Intel Processor Pentium Silver N5030 15.6 inch (35.56 cms) (4GB RAM/1TB HDD/Windows 10/Integrated Graphic Card/Black/1.9 Kg),EX215-31","28,499",3.8 out of 5 stars,43,https://www.amazon.in/Acer-Extensa-Processor-Integrated-EX215-31/dp/B095BYNN8Z/ref=sr_1_13?dchild=1&keywords=laptop&qid=1627416925&sr=8-13
